SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1366,682.78
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A6,500,0.5099,254.96
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A6,1000,0.3612,361.17
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A6,2500,0.2302,575.56
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A6,5000,0.1671,835.68
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.4510,225.48
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.3144,314.39
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.1944,485.89
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1359,679.60
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,500,0.5036,251.78
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,1000,0.3580,357.99
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,2500,0.2290,572.39
"4.25"" x 6""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,5000,0.1665,832.50
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,500,0.4065,203.25
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.2747,274.71
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.1778,444.61
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1280,639.91
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A6,500,0.4591,229.55
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A6,1000,0.3183,318.31
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A6,2500,0.2124,531.11
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A6,5000,0.1586,792.81
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.4002,200.08
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.2715,271.53
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.1766,441.43
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1273,636.73
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,500,0.4528,226.38
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,1000,0.3151,315.13
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,2500,0.2112,527.93
"4.25"" x 6""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A6,5000,0.1579,789.63
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,500,0.7241,362.03
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,1000,0.5605,560.51
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,2500,0.3201,800.27
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,5000,0.2255,"1,127.38"
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A7,500,0.7683,384.13
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A7,1000,0.6007,600.71
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A7,2500,0.3563,890.87
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A7,5000,0.2587,"1,293.48"
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A7,500,0.7619,380.96
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A7,1000,0.5975,597.54
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A7,2500,0.3551,887.71
"5"" x 7""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A7,5000,0.2581,"1,290.31"
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,500,0.7241,362.03
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.5605,560.51
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.3201,800.27
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2255,"1,127.38"
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A7,500,0.7683,384.13
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A7,1000,0.6007,600.71
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A7,2500,0.3563,890.87
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A7,5000,0.2587,"1,293.48"
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.7619,380.96
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.5975,597.54
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.3551,887.71
"5"" x 7""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2581,"1,290.31"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,500,0.7241,362.03
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,1000,0.5605,560.51
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,2500,0.3201,800.27
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,No Blank Envelopes,5000,0.2255,"1,127.38"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,500,0.7683,384.13
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,1000,0.6007,600.71
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,2500,0.3563,890.87
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A7,5000,0.2587,"1,293.48"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,0.7177,358.86
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.5573,557.34
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.3188,797.11
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.2248,"1,124.21"
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,500,0.7619,380.96
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,1000,0.5975,597.54
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,2500,0.3551,887.71
"5"" x 7""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A7,5000,0.2581,"1,290.31"
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.6415,320.74
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.4446,444.61
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.2718,679.60
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1890,944.78
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,500,0.6857,342.84
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,1000,0.4848,484.81
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,2500,0.3081,770.20
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A7,5000,0.2222,"1,110.88"
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.6351,317.57
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.4414,441.43
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2706,676.43
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1883,941.60
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.6793,339.67
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.4816,481.63
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.3068,767.03
"5"" x 7""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2215,"1,107.70"
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,500,0.5653,282.65
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.3843,384.27
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.2477,619.26
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1766,882.84
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,500,0.6095,304.75
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,1000,0.4245,424.47
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,2500,0.2839,709.86
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,Include Envelopes - A7,5000,0.2098,"1,048.94"
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,0.5589,279.46
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.3811,381.08
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,2500,0.2464,616.10
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,No Blank Envelopes,5000,0.1759,879.68
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,500,0.6031,301.56
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,1000,0.4213,421.28
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,2500,0.2827,706.70
"5"" x 7""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,Include Envelopes - A7,5000,0.2092,"1,045.78"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,500,1.0321,516.06
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,1000,0.7971,797.11
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,2500,0.4541,"1,135.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,No Blank Envelopes,5000,0.2931,"1,465.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,500,1.1513,575.66
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,1000,0.9083,908.31
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,2500,0.5533,"1,383.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,Include Envelopes - A9,5000,0.3863,"1,931.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,500,1.0258,512.88
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,1000,0.7939,793.93
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,2500,0.4529,"1,132.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,No Blank Envelopes,5000,0.2925,"1,462.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,500,1.1450,572.48
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,1000,0.9051,905.13
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,2500,0.5521,"1,380.14"
"5.5"" x 8.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,Include Envelopes - A9,5000,0.3857,"1,928.42"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,500,1.0321,516.06
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.7971,797.11
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.4541,"1,135.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.2931,"1,465.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,500,1.1513,575.66
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,1000,0.9083,908.31
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,2500,0.5533,"1,383.32"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Include Envelopes - A9,5000,0.3863,"1,931.60"
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,500,1.0258,512.88
"5.5"" x 8.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,No Blank Envelopes,1000,0.7939,793.93
