SIZE ,STOCK ,COLORSPEC ,COATING ,SPOT UV SIDES ,RunSize,UnitPrice,TotalPrice
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.3621,181.03
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.2874,287.40
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.1670,417.60
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.1185,592.28
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.3747,187.37
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.2938,293.76
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.1696,423.96
"2.5"" x 3.5""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.1194,597.03
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,0.3621,181.03
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.2874,287.40
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.1670,417.60
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.1185,592.28
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.3747,187.37
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.2938,293.76
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.1696,423.96
"2.5"" x 3.5""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.1194,597.03
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,500,0.4526,226.28
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,1000,0.3592,359.25
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,2500,0.2088,522.00
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,5000,0.1481,740.35
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,0.3621,181.03
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.2874,287.40
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,2500,0.1670,417.60
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,5000,0.1185,592.28
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,500,0.3747,187.37
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,1000,0.2938,293.76
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,2500,0.1696,423.96
"2.5"" x 3.5""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,5000,0.1194,597.03
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.3930,196.50
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.2799,279.87
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.1755,438.65
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1235,617.28
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,500,0.3930,196.50
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,1000,0.2799,279.87
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,2500,0.1755,438.65
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,5000,0.1235,617.28
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,500,0.3930,196.50
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,1000,0.2799,279.87
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,2500,0.1755,438.65
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,5000,0.1235,617.28
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,500,0.3144,157.20
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,1000,0.2239,223.89
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,2500,0.1404,350.92
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,5000,0.0988,493.82
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.3271,163.56
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.2302,230.23
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.1429,357.26
"2.5"" x 3.5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.1000,500.17
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,0.3494,174.68
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.2402,240.17
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.1596,398.96
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.1151,575.60
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.2795,139.74
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.1921,192.14
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.1277,319.17
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.0921,460.48
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.2922,146.09
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.1985,198.48
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.1302,325.52
"2.5"" x 3.5""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.0937,468.42
