SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 2 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2"" x 3.5"" (US Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"2"" x 3.5"" (US Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2"" x 7""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,100,1.0957,109.57
"2"" x 7""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,250,0.4764,119.09
"2"" x 7""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,500,0.2572,128.60
"2"" x 7""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,1000,0.1381,138.14
"2"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,100,1.0957,109.57
"2"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,250,0.4764,119.09
"2"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,500,0.2572,128.60
"2"" x 7""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,1000,0.1381,138.14
"2"" x 7""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,100,1.0957,109.57
"2"" x 7""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,250,0.4764,119.09
"2"" x 7""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,500,0.2572,128.60
"2"" x 7""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,1000,0.1381,138.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,25,0.5716,14.29
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,50,0.3175,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,75,0.2540,19.05
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,100,0.2065,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,250,0.0953,23.82
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,500,0.0508,25.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/1,No Coating,,1000,0.0445,44.46
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,25,0.5716,14.29
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3175,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2223,16.67
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1747,17.47
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0889,22.23
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0476,23.82
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0413,41.29
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.5716,14.29
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3175,15.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2540,19.05
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2065,20.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.0953,23.82
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0508,25.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0445,44.46
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/1,No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,100,0.2065,20.65
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0604,30.18
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0476,47.63
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/1,No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,100,0.2065,20.65
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,500,0.0604,30.18
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/0 (4 color front),No Coating,,1000,0.0476,47.63
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2382,23.82
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1079,26.98
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0635,31.76
"2.5"" x 2.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0508,50.82
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,25,0.6349,15.87
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,50,0.3494,17.47
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,75,0.2753,20.65
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,100,0.2223,22.23
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,500,0.0572,28.58
"2.5"" x 2.5""",Square,,14PT Natural,4/1,No Coating,,1000,0.0476,47.63
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,25,0.6349,15.87
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,50,0.3494,17.47
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,75,0.2436,18.27
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,100,0.1905,19.05
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,250,0.0953,23.82
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,500,0.0540,26.98
"2.5"" x 2.5""",Square,,14PT Natural,4/0 (4 color front),No Coating,,1000,0.0445,44.46
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,25,0.6349,15.87
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,50,0.3494,17.47
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,75,0.2753,20.65
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,100,0.2223,22.23
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,250,0.1016,25.41
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,500,0.0572,28.58
"2.5"" x 2.5""",Square,,14PT Natural,4/4 (4 color both sides),No Coating,,1000,0.0476,47.63
"3.5"" x 4""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,100,1.0957,109.57
"3.5"" x 4""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,250,0.4764,119.09
"3.5"" x 4""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,500,0.2572,128.60
"3.5"" x 4""",Rectangle,,14PT Natural,4/1,No Coating,Score in Half,1000,0.1381,138.14
"3.5"" x 4""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,100,1.0957,109.57
"3.5"" x 4""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,250,0.4764,119.09
"3.5"" x 4""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,500,0.2572,128.60
"3.5"" x 4""",Rectangle,,14PT Natural,4/0 (4 color front),No Coating,Score in Half,1000,0.1381,138.14
"3.5"" x 4""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,100,1.0957,109.57
"3.5"" x 4""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,250,0.4764,119.09
"3.5"" x 4""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,500,0.2572,128.60
"3.5"" x 4""",Rectangle,,14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,1000,0.1381,138.14
