SIZE ,STOCK ,COLORSPEC ,COATING ,SCORING OPTIONS ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,25,3.5567,88.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,50,2.1277,106.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,75,1.6938,127.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,100,1.4291,142.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,250,0.7622,190.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,500,0.4192,209.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,1000,0.3938,393.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/0 (4 color front),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Bottom Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,25,3.9967,99.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,50,2.4677,123.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,75,1.9871,149.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,100,1.6991,169.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,250,0.9182,229.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,500,0.5332,266.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,Include Natural Envelopes - 6.5X6.5,1000,0.5078,507.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,25,3.5567,88.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,50,2.1277,106.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,75,1.6938,127.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,100,1.4291,142.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,250,0.7622,190.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,500,0.4192,209.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,No Gift Card Slits,No Blank Envelopes,1000,0.3938,393.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Right Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Moon Slits Right Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,250,0.9662,241.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,500,0.5612,280.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,1000,0.5238,523.78
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,25,3.9567,98.92
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,50,2.3277,116.39
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,75,1.8271,137.04
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,100,1.5291,152.91
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,250,0.8102,202.54
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,500,0.4472,223.61
"6"" x 12""",14PT Natural,4/4 (4 color both sides),No Coating,Score in Half,Slide Slits Bottom Panel,No Blank Envelopes,1000,0.4098,409.78
"6"" x 12""",14PT Natural,4/1,No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,25,4.3967,109.92
"6"" x 12""",14PT Natural,4/1,No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,50,2.6677,133.39
"6"" x 12""",14PT Natural,4/1,No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,75,2.1205,159.04
"6"" x 12""",14PT Natural,4/1,No Coating,Score in Half,Moon Slits Bottom Panel,Include Natural Envelopes - 6.5X6.5,100,1.7991,179.91
