SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.6828,68.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.3811,95.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.2191,109.57
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1381,138.14
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6828,68.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3811,95.28
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2191,109.57
"2"" x 6""",Rectangle,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1381,138.14
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.6350,63.50
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3493,87.33
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2064,103.22
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1524,152.43
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6350,63.50
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3493,87.33
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2064,103.22
"2"" x 6""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1524,152.43
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.7145,71.45
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3938,98.46
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2255,112.73
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1413,141.31
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.7145,71.45
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3938,98.46
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2255,112.73
"2"" x 6""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1413,141.31
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5572,55.72
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2610,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1369,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1113,111.30
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5572,55.72
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2610,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1369,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/1,No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1113,111.30
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5254,52.54
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2483,62.07
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1305,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1065,106.52
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5254,52.54
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2483,62.07
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1305,65.25
"2.125"" x 5""",Rectangle,14PT Natural,4/0 (4 color front),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1065,106.52
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,100,0.5731,57.31
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,250,0.2737,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,500,0.1432,71.60
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,No Drill Hole,1000,0.1145,114.46
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",100,0.5731,57.31
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",250,0.2737,68.43
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",500,0.1432,71.60
"2.125"" x 5""",Rectangle,14PT Natural,4/4 (4 color both sides),No Coating,Bottle Neck Hang Tags,Bottle Necker Die Cut,"Standard Drill Hole 1/8""",1000,0.1145,114.46
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.2604,65.10
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1111,111.15
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2604,65.10
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1111,111.15
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4287,42.87
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2540,63.50
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1493,74.64
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1080,107.97
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4287,42.87
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2540,63.50
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1493,74.64
"2.5"" x 2.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1080,107.97
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.2604,65.10
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1111,111.15
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.4605,46.05
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.2604,65.10
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2.5"" x 2.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1111,111.15
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.5875,58.75
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.3239,80.97
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.1874,93.68
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1254,125.44
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.5875,58.75
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3239,80.97
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1874,93.68
"3"" x 3""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1254,125.44
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.5557,55.57
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3048,76.21
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1778,88.92
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1302,130.20
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.5557,55.57
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3048,76.21
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1778,88.92
"3"" x 3""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1302,130.20
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.6034,60.34
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3303,82.57
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.1906,95.28
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1270,127.04
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6034,60.34
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3303,82.57
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"3"" x 3""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1270,127.04
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,100,0.6828,68.28
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,250,0.3811,95.28
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,500,0.2191,109.57
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1381,138.14
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6828,68.28
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3811,95.28
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2191,109.57
"3.5"" x 3.5""",Square,14PT Natural,4/1,No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1381,138.14
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,100,0.6350,63.50
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3493,87.33
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2064,103.22
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1524,152.43
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.6350,63.50
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3493,87.33
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2064,103.22
"3.5"" x 3.5""",Square,14PT Natural,4/0 (4 color front),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1524,152.43
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,100,0.7145,71.45
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,250,0.3938,98.46
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,500,0.2255,112.73
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,No Drill Hole,1000,0.1413,141.31
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",100,0.7145,71.45
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",250,0.3938,98.46
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",500,0.2255,112.73
"3.5"" x 3.5""",Square,14PT Natural,4/4 (4 color both sides),No Coating,Regular Hang Tags,,"Standard Drill Hole 1/8""",1000,0.1413,141.31
